puzzle,ans
有口亦难分诉,亚
笔上难写心中情,白
到此搁笔到此停,头
有情日后成双对,偕
无情日后难相逢,是
石榴花开慢慢红,成
冷水冲糖慢慢融,双
只要两人心不变,成
总有一天会相逢,对
就此搁笔就此停,不
石榴开花慢慢红,多
冰水冲糖慢慢溶,么
总有一日得相逢,你
笔上难写心上情,彼
无情以后难相逢,友
冷水冲糖慢慢溶,活
只有两人心不变,快
总有一天得相逢,乐
八兄弟同赏月,脱
白痴,保
半部春秋,秦
半导体,付
半个月,胖
半真半假,值
宝岛姑娘,始
闯王失马,门
边打边谈,订
不是男孩,姓
部位相反,陪
草木之中有一人,茶
草上飞,早
长期住医院,疚
乘人不备,乖
打断念头,心
添丁进口,可
春风吹又生,薪
春和秋都不热,秦
土上有竹林土下一寸金,等
兔儿头上戴顶帽满腹苦水无处申,冤
文武合一,斌
岂止百里挑一,皑
我没有他有天没有地有,也
小两口一条心,患
小人国,付
谢绝参观,企
休要丢人现眼,相
森林大火,焚
旭日东升,九
独留花下人有情却无心,倩
多一点就不准,淮
东洋兵,晖
儿女双全,好
二木不成林,相
二人手拉手钢丝绳上走,丛
二人土上蹲,坐
二山在一道猜出便错了,击
二十四小时,旧
饭没做熟,炊
飞蛾扑火,烛
一斤多一点,斥
十女同耕半边田,妻
十叁点,汁
十五天,胖
十六两多一点,斥
一木走过田中央,东
石头成堆,磊
水上人家,沪
说不叫说拿不叫拿,最
说出圆又圆写出是九点,丸
撕掉画皮,田
四撇一弯钩虫在肚中留,蜀
四面不透风里面刺骨寒,图
四面都是山山山接相连,田
四退八进一,曰
算命先生,仆
太阳出来了,旦
太阳西边下月亮东边挂,明
徒弟,们
云南大旱,真
提前出发,选
天旱,沙
田里雨後长青草,蕾
田中,十
同胞,捉
投稿,效
头是一腰是一尾是一其实不是一,三
打破框框发现人才,团
大口多一点,吠
大口加小口,固
大门开有客来先脱帽再进来,阁
大雨下在横山上,雪
十字架下三个人,来
十字对十字太阳对月亮,朝
十个哥哥,克
三人两口一匹马,验
三口重叠莫把品字猜,目
三张纸,顺
上下合,卡
上下串通,卡
上下难分,卡
久雷不雨,田
千言万语,够
千里姻缘一线牵,重
大人挑小人,夹
大丈夫不得出头,天
大有头中无心小全身,京
大雨落在横山上,雪
小姑娘,妙
不要讲话,吻
不讲理的人,地
中心一点口不见,卜
中秋夜乌云密布,胞
